,Company,Ticker_1,Ticker_2,ESG score,ESG risk
5577,"Hims & Hers Health, Inc.",NYS,HIMS,27.1,Medium
5578,Hindalco Industries Ltd.,BOM,500440,29.6,Medium
5579,Hinduja Global Solutions Ltd.,BOM,532859,19.2,Low
5580,Hindustan Aeronautics Ltd.,BOM,541154,48.9,Severe
5581,Hindustan Construction Co. Ltd.,BOM,500185,35.3,High
5582,Hindustan Copper Ltd.,BOM,513599,49.6,Severe
5583,Hindustan Foods Ltd.,BOM,519126,41.5,Severe
5584,Hindustan Petroleum Corp. Ltd.,BOM,500104,37.8,High
5585,Hindustan Unilever Ltd.,BOM,500696,21.5,Medium
5586,Hindustan Zinc Ltd.,BOM,500188,30.7,High
5587,Hindware Home Innovation Ltd.,BOM,542905,30.1,High
5588,Hingham Institution for Savings,NAS,HIFS,35.5,High
5589,"Hino Motors, Ltd.",TKS,7205,33.4,High
5590,Hioki E.E. Corp.,TKS,6866,14.2,Low
5591,"Hippo Holdings, Inc.",NYS,HIPO,26.0,Medium
5592,Hirakawa Hewtech Corp.,TKS,5821,30.0,Medium
5593,"Hirano Tecseed Co., Ltd.",TKS,6245,33.5,High
5594,Hirata Corp.,TKS,6258,32.9,High
5595,"HireQuest, Inc.",NAS,HQI,13.6,Low
5596,HireRight Holdings Corp.,-,,17.4,Low
5597,"Hirogin Holdings, Inc.",TKS,7337,28.7,Medium
5598,"HIROSE ELECTRIC CO., LTD.",TKS,6806,21.8,Medium
5599,Hisaka Works Ltd.,TKS,6247,32.5,High
5600,"Hisamitsu Pharmaceutical Co., Inc.",TKS,4530,33.2,High
5601,Hiscox Ltd.,LON,HSX,22.1,Medium
5602,"Hisense Home Appliances Group Co., Ltd.",HKG,921,29.1,Medium
5603,"Hisense Visual Technology Co., Ltd.",SHG,600060,31.1,High
5604,"Hitachi Construction Machinery Co., Ltd.",TKS,6305,22.4,Medium
5605,Hitachi Energy India Ltd.,BOM,543187,12.2,Low
5606,Hitachi Ltd.,TKS,6501,26.3,Medium
5607,"HITEJINRO Co., Ltd.",KRX,000080,29.6,Medium
5608,"Hithink RoyalFlush Information Network Co., Ltd.",SHE,300033,32.2,High
5609,"HITO-Communications Holdings, Inc.",TKS,4433,17.1,Low
5610,HIWIN Technologies Corp.,TAI,2049,28.0,Medium
